Cell ID,Cell Stage,Sphericity,Elongation,Flatness,Squareness,Entropy,Surface Volume,Convexity,Cell Volume: Embryo Volume,Surface (microns squared),Volume (microns cubed)
a5.3*,16,85.2261,14.2946,30.8272,45.2188,92.6149,12.1231,95.0272,4.24853,10594,87390
a5.4,16,90.4614,9.86199,6.41211,38.28,97.5277,11.1594,95.5675,4.83473,11097,99448
a5.4*,16,89.0848,17.3037,11.7349,39.5662,95.4261,11.4265,96.4101,4.64391,10914,95523
B5.1,16,84.0412,4.1165,13.5409,40.3108,97.9596,8.93001,89.8176,10.9317,20080,224859
B5.1*,16,84.6168,12.6244,7.56824,37.4529,98.6039,8.92133,90.6385,10.815,19846,222459
B5.2,16,84.3305,24.4901,15.3951,45.6347,89.1113,11.9879,95.2657,4.48774,11066,92310
B5.2*,16,85.113,21.9633,18.6716,46.1184,89.5264,11.9216,94.8563,4.47954,10984,92142
b5.3,16,89.3212,9.11173,9.25382,44.916,97.1417,11.3185,95.6125,4.75286,14188,135012
b5.3*,16,87.8285,7.04434,5.47151,43.0491,97.6448,11.0767,93.403,5.24471,11949,107881
b5.4,16,81.7409,5.91354,36.0273,45.8883,89.9326,11.0641,95.9044,6.0758,13827,124976
b5.4*,16,84.9595,10.6916,32.3379,49.948,91.3138,10.5088,96.6469,6.56369,11065,97764
a5.3,24,70.6971,11.8778,9.771,25.1487,95.9612,14.2737,74.2747,4.39217,11106,77810
a5.3*,24,70.2334,7.85133,28.156,28.0574,93.4113,14.3097,73.7677,4.41687,11197,78247
a5.4,24,85.4312,12.9536,20.9678,44.7403,93.8225,12.0447,92.8127,5.00587,10681,88682
a5.4*,24,84.0129,15.0497,30.5532,44.1983,90.7362,12.5483,91.0888,4.57772,10176,81097
A6.1,24,82.5912,1.95955,34.1633,44.776,93.9253,15.2679,94.9029,2.62961,7112,46585
A6.1*,24,77.8475,7.76411,32.0223,40.2437,91.7547,16.2029,89.626,2.47644,7108,43871
A6.2,24,94.6391,9.61964,4.33498,51.5859,97.8033,13.0322,99.4607,3.22031,7434,57049
A6.2*,24,91.0571,9.73225,2.54258,43.1325,97.9136,13.0677,97.2905,3.45041,7987,61126
A6.3,24,83.6048,23.674,4.5593,38.3495,94.4397,13.6214,92.3633,3.6138,8720,64020
A6.3*,24,79.4669,26.9151,12.0143,39.3005,92.0973,13.8691,89.1473,3.78945,9310,67132
A6.4,24,93.0271,17.207,6.14656,45.918,98.0424,12.682,98.8677,3.61671,8125,64072
A6.4*,24,92.4185,15.2487,8.53522,44.7517,96.4406,12.3103,97.7385,4.0066,8737,70979
b5.3,24,73.8427,28.6697,6.45772,31.4034,88.0171,12.6373,83.8497,5.80119,12987,102771
b5.3*,24,71.5927,20.5555,6.5571,33.3935,95.4342,13.2923,78.7771,5.30347,12488,93954
b5.4,24,84.0837,10.9288,18.7169,39.6994,93.5099,11.5455,95.7875,5.8673,12000,103942
b5.4*,24,84.8543,11.3201,15.3971,40.0984,94.4035,11.1198,93.9193,6.44844,12703,114238
B6.1,24,81.2534,14.4132,27.6648,36.387,91.1285,12.8847,91.2161,4.52053,10318,80084
B6.1*,24,76.9897,19.0684,27.8732,37.3954,88.3163,13.1141,87.6074,4.77546,11094,84600
B6.2,24,82.7349,9.90263,17.45,42.2123,98.5664,11.8971,90.5546,5.53853,11673,98118
B6.2*,24,83.9106,8.3972,3.87667,40.5304,98.8055,11.4411,91.2295,6.05429,12271,107255
B6.3,24,79.3122,26.1873,33.0062,54.9371,85.575,19.2879,92.9225,1.41437,4832,25056
B6.3*,24,85.8114,25.4101,30.2675,53.58,82.7234,18.2238,98.3398,1.43249,4624,25377
B6.4,24,91.3528,11.7857,26.0053,47.4204,94.6546,12.4517,97.2596,3.96246,8740,70197
B6.4*,24,92.3296,6.84131,25.813,49.5467,95.6103,12.6659,98.2823,3.68553,8269,65291
A6.1,32,61.3623,3.39714,31.7417,24.891,93.189,18.5352,64.1756,2.8864,8742,47168
A6.1*,32,63.7931,5.07194,27.8299,27.3688,94.9494,17.4056,67.8596,3.22507,9173,52703
A6.2,32,72.2767,10.1099,11.5532,32.1824,94.9651,16.5001,83.4441,2.94913,7952,48194
A6.2*,32,68.8594,13.3944,2.53428,29.6896,94.1963,17.124,78.1687,2.90677,8134,47501
A6.3,32,62.3391,14.8125,12.1111,23.2175,92.823,17.802,65.5531,3.15664,9183,51585
A6.3*,32,65.3185,19.3567,8.1522,26.6346,91.8447,17.1878,70.5168,3.19461,8973,52205
A6.4,32,72.8369,6.52983,13.3239,34.5645,93.7763,16.2727,84.5925,3.02743,8050,49473
A6.4*,32,76.5615,17.6334,15.1204,39.6135,92.2849,15.6639,89.0332,3.07207,7863,50203
a6.5,32,82.8057,15.7301,8.71485,35.677,97.4338,17.1207,95.6793,2.01127,5627,32867
a6.5*,32,83.256,11.8072,11.6684,35.9934,98.73,16.771,95.273,2.11662,5800,34589
a6.6,32,72.4779,25.2342,27.2981,35.8906,88.5925,17.0569,90.0783,2.65487,7400,43385
a6.6*,32,72.7775,28.165,25.914,35.8266,88.1009,16.5659,89.8286,2.87415,7780,46968
a6.7,32,81.1361,14.0675,20.2959,34.678,97.4366,16.7695,94.2893,2.22926,6109,36430
a6.7*,32,80.49,20.0446,13.1896,33.9063,97.5403,16.4969,92.2066,2.37935,6414,38882
a6.8,32,75.435,30.9562,24.2542,41.5826,87.4553,15.4085,93.1187,3.32447,8037,54952
a6.8*,32,74.5311,33.8773,21.8491,40.533,85.3599,15.5054,92.3277,3.34219,8468,54617
B6.1,32,52.4322,10.9557,7.30429,19.4488,96.355,18.155,59.9178,4.20692,12481,68748
B6.1*,32,53.9196,7.796,12.708,21.17,96.1001,17.8139,60.5445,4.21095,12258,68814
B6.2,32,77.1702,22.0249,18.8564,35.1107,94.7436,12.7176,86.9776,5.64989,11742,92329
B6.2*,32,75.7,17.8982,24.3781,36.7113,95.092,12.8087,86.2104,5.74711,12029,93918
B6.3,32,72.2366,26.3227,37.3581,40.8456,86.4351,24.3953,91.1372,0.913523,3641,14928
B6.3*,32,76.7107,29.9138,37.1508,41.7093,87.3183,24.4459,97.1739,0.805053,3216,13156
B6.4,32,78.3191,29.6506,17.435,36.1087,90.2451,15.2836,90.0745,3.16037,7893,51646
B6.4*,32,79.6278,25.5985,17.6404,36.7623,92.299,14.9028,92.1763,3.29778,8031,53891
b6.5,32,81.3685,22.6011,4.31327,39.2184,95.27,15.5673,94.246,2.77076,7048,45279
b6.5*,32,80.5258,18.8717,3.66569,34.7031,95.3223,15.3721,93.0668,2.93822,7381,48015
b6.6,32,74.7741,9.86842,15.8668,27.811,94.9758,15.5351,87.3325,3.30149,8381,53952
b6.6*,32,73.1831,7.67353,13.4373,27.8761,96.3843,15.8557,84.1543,3.2417,8399,52975
b6.7,32,81.0155,20.4436,21.1868,40.7566,95.1383,14.5564,95.1581,3.41863,8132,55866
b6.7*,32,81.0968,18.1937,20.9564,39.4032,96.3311,14.6269,94.7534,3.36267,8371,54327
b6.8,32,69.9634,20.3627,13.5814,29.5862,87.5664,15.3901,85.6672,3.8787,9754,63384
b6.8*,32,70.9744,26.8044,15.5377,32.5766,87.138,15.4216,85.5887,3.74594,9440,61215
A6.1,32,78.1979,19.6829,25.8696,46.892,92.3279,14.1752,90.5317,3.7091,9204,64934
A6.1*,32,78.7721,22.0326,25.7191,45.8719,92.6639,14.5558,92.0307,3.37592,8602,59101
A6.2,32,62.0282,24.4476,18.3719,36.7605,90.9025,17.8253,70.2447,2.9645,9251,51899
A6.2*,32,61.1911,20.4318,22.8971,38.0168,90.7564,18.208,71.2301,2.85814,9110,50037
A6.3,32,62.6568,18.9824,27.976,30.5852,91.2503,17.6738,70.819,2.98069,9222,52182
A6.3*,32,63.6595,18.1975,27.4719,28.0058,93.2242,16.8119,71.4713,3.35477,9873,58731
A6.4,32,72.2179,24.1571,22.8994,35.4197,80.4057,15.5769,80.5027,3.27724,8937,57374
A6.4*,32,71.6994,25.5537,34.2559,36.9217,78.3115,15.6734,84.7334,3.26377,8955,57138
a6.5,32,69.4667,31.3473,36.2261,48.3976,82.9375,18.1756,88.9255,2.2296,7094,39033
a6.5*,32,73.6522,30.2402,27.6513,49.274,86.7765,17.4161,89.7357,2.25435,6873,39466
a6.6,32,62.4073,55.6478,3.89803,37.4753,59.9462,18.031,78.7003,2.82951,8931,49535
a6.6*,32,64.3717,55.9542,0.992686,41.2117,62.9575,17.6094,80.8801,2.85508,8801,49983
a6.7,32,66.1468,46.9525,32.1776,39.5604,63.2932,18.865,87.8087,2.19916,7263,38500
a6.7*,32,63.7794,50.5358,21.601,37.9689,57.7712,18.2793,80.8367,2.6002,8320,45521
a6.8,32,67.9373,57.9023,2.7352,37.8737,56.0281,16.4542,89.4939,3.14194,9024,55897
a6.8*,32,66.3738,52.6024,20.6144,36.4318,58.9951,17.133,86.7025,2.91576,8745,51045
B6.1,32,70.1007,3.12951,41.118,35.4936,90.2859,14.4776,84.4319,4.33218,10980,75843
B6.1*,32,72.3631,12.0198,26.8135,40.0116,92.755,13.9284,85.8388,4.56569,11133,79930
B6.2,32,83.155,25.6788,16.2131,48.2241,84.0163,11.3559,93.1038,6.37981,12683,111690
B6.2*,32,79.8964,27.8454,17.4515,39.3413,86.7392,12.263,91.1969,5.48787,11781,96075
B6.3,32,73.775,42.4894,19.3803,44.1969,75.9306,21.0057,90.0733,1.2806,4709,22419
