Cell pair,Developmental Stage,Average Proportional Volume (%),Difference in Propotional Volume (%),Significance Criterion A (0.05),Significance Criterion B (0.01),Significant (A),Significant (B),Difference in actual volume (um^3)
a8.18, a8.18*,112,0.4703815,0.032851,0.023519075,0.004703815,1,1,616
a8.19, a8.19*,112,0.337749,0.007096,0.01688745,0.00337749,,1,133
a8.20, a8.20*,112,0.5320975,0.207913,0.026604875,0.005320975,1,1,3897
a8.21, a8.21*,112,0.611506,0.044676,0.0305753,0.00611506,1,1,837
a8.22, a8.22*,112,0.517431,0.063088,0.02587155,0.00517431,1,1,1182
a8.23, a8.23*,112,0.824884,0.07076,0.0412442,0.00824884,1,1,1326
a8.24, a8.24*,112,0.735788,0.093024,0.0367894,0.00735788,1,1,1744
a8.25, a8.25*,112,0.322276,0.031196,0.0161138,0.00322276,1,1,585
a8.26, a8.26*,112,0.7584935,0.389241,0.037924675,0.007584935,1,1,7295
a8.27, a8.27*,112,0.7181285,0.099655,0.035906425,0.007181285,1,1,1868
a8.28, a8.28*,112,0.7236875,0.041125,0.036184375,0.007236875,1,1,771
a8.29, a8.29*,112,0.858699,0.12155,0.04293495,0.00858699,1,1,2278
a8.30, a8.30*,112,0.8471635,0.010119,0.042358175,0.008471635,,1,190
a8.31, a8.31*,112,1.0085235,0.092133,0.050426175,0.010085235,1,1,1727
a8.32, a8.32*,112,0.994432,0.264016,0.0497216,0.00994432,1,1,4948
A8.5, A8.5*,112,0.7679295,0.207033,0.038396475,0.007679295,1,1,3880
A8.6, A8.6*,112,0.8107505,0.131961,0.040537525,0.008107505,1,1,2473
A8.7, A8.7*,112,0.7435405,0.116645,0.037177025,0.007435405,1,1,2186
A8.8, A8.8*,112,0.6654385,0.020291,0.033271925,0.006654385,,1,381
B7.1, B7.1*,112,1.90502,0.05352,0.095251,0.0190502,,1,1003
B7.2, B7.2*,112,2.48758,0.0089,0.124379,0.0248758,,,167
B7.5, B7.5*,112,1.091135,0.09137,0.05455675,0.01091135,1,1,1713
B7.6, B7.6*,112,0.1101745,0.013035,0.005508725,0.001101745,1,1,244
B7.7, B7.7*,112,1.85678,0.33944,0.092839,0.0185678,1,1,6361
B8.15, B8.15*,112,0.8575525,0.020223,0.042877625,0.008575525,,1,379
B8.16, B8.16*,112,0.7654495,0.160195,0.038272475,0.007654495,1,1,3002
b8.17, b8.17*,112,0.588548,0.022628,0.0294274,0.00588548,,1,425
b8.18, b8.18*,112,0.592714,0.128526,0.0296357,0.00592714,1,1,2409
b8.19, b8.19*,112,0.2332635,0.008849,0.011663175,0.002332635,,1,166
b8.20, b8.20*,112,0.495527,0.181106,0.02477635,0.00495527,1,1,3394
b8.21, b8.21*,112,0.3121595,0.221995,0.015607975,0.003121595,1,1,4161
b8.22, b8.22*,112,0.6091385,0.054349,0.030456925,0.006091385,1,1,1019
b8.23, b8.23*,112,1.1003625,0.288855,0.055018125,0.011003625,1,1,5413
b8.24, b8.24*,112,0.865346,0.107792,0.0432673,0.00865346,1,1,2020
b8.25, b8.25*,112,0.3967315,0.139843,0.019836575,0.003967315,1,1,2621
b8.26, b8.26*,112,0.732448,0.197818,0.0366224,0.00732448,1,1,3707
b8.27, b8.27*,112,0.7049755,0.035541,0.035248775,0.007049755,1,1,667
b8.28, b8.28*,112,0.836507,0.320324,0.04182535,0.00836507,1,1,6003
b8.29, b8.29*,112,0.741208,0.13541,0.0370604,0.00741208,1,1,2537
b8.30, b8.30*,112,0.709214,0.098078,0.0354607,0.00709214,1,1,1838
b8.31, b8.31*,112,1.113135,0.06509,0.05565675,0.01113135,1,1,1220
b8.32, b8.32*,112,0.9582605,0.216059,0.047913025,0.009582605,1,1,4049
B8.5, B8.5*,112,1.587395,0.47975,0.07936975,0.01587395,1,1,8992
B8.6, B8.6*,112,0.363263,0.003726,0.01816315,0.00363263,,1,69
B8.7, B8.7*,112,1.73449,0.08406,0.0867245,0.0173449,,1,1575
B8.8, B8.8*,112,2.07894,0.0663,0.103947,0.0207894,,1,1242
A8.11, A8.11*,112,1.14653,0.06084,0.0573265,0.0114653,1,1,1459
A8.12, A8.12*,112,0.458723,0.102482,0.02293615,0.00458723,1,1,2458
A8.13, A8.13*,112,0.8071245,0.220875,0.040356225,0.008071245,1,1,5298
A8.14, A8.14*,112,0.783967,0.077594,0.03919835,0.00783967,1,1,1861
A8.15, A8.15*,112,0.861018,0.2409,0.0430509,0.00861018,1,1,5779
A8.16, A8.16*,112,1.062953,0.196754,0.05314765,0.01062953,1,1,4720
a8.17, a8.17*,112,0.441397,0.097226,0.02206985,0.00441397,1,1,2332
a8.18, a8.18*,112,0.5937275,0.164737,0.029686375,0.005937275,1,1,3952
a8.19, a8.19*,112,0.4903275,0.029059,0.024516375,0.004903275,1,1,697
a8.20, a8.20*,112,0.5185715,0.024125,0.025928575,0.005185715,,1,579
a8.21, a8.21*,112,0.609882,0.08454,0.0304941,0.00609882,1,1,2027
a8.22, a8.22*,112,0.6694935,0.029049,0.033474675,0.006694935,,1,697
a8.23, a8.23*,112,0.8440445,0.002245,0.042202225,0.008440445,,,54
a8.24, a8.24*,112,0.8598125,0.048589,0.042990625,0.008598125,1,1,1165
a8.25, a8.25*,112,0.3575665,0.113521,0.017878325,0.003575665,1,1,2723
a8.26, a8.26*,112,0.6079885,0.184057,0.030399425,0.006079885,1,1,4414
a8.27, a8.27*,112,0.685054,0.024056,0.0342527,0.00685054,,1,577
a8.28, a8.28*,112,0.7235805,0.019051,0.036179025,0.007235805,,1,457
a8.29, a8.29*,112,0.7731085,0.047859,0.038655425,0.007731085,1,1,1148
a8.30, a8.30*,112,0.790333,0.040346,0.03951665,0.00790333,1,1,968
a8.31, a8.31*,112,0.6766,0.05813,0.03383,0.006766,1,1,1394
a8.32, a8.32*,112,0.6643535,0.063883,0.033217675,0.006643535,1,1,1532
A8.5, A8.5*,112,0.9671385,0.244243,0.048356925,0.009671385,1,1,5858
A8.6, A8.6*,112,0.904494,0.229872,0.0452247,0.00904494,1,1,5514
A8.7, A8.7*,112,1.037175,0.07241,0.05185875,0.01037175,1,1,1737
A8.8, A8.8*,112,0.9248335,0.033695,0.046241675,0.009248335,,1,808
B7.5, B7.5*,112,0.961702,0.060796,0.0480851,0.00961702,1,1,1459
B7.6, B7.6*,112,0.09501295,0.0391421,0.004750648,0.00095013,1,1,939
B8.15, B8.15*,112,0.8317965,0.037809,0.041589825,0.008317965,,1,907
B8.16, B8.16*,112,0.9168655,0.005987,0.045843275,0.009168655,,,144
b8.17, b8.17*,112,0.759388,0.16117,0.0379694,0.00759388,1,1,3866
b8.18, b8.18*,112,1.0023285,0.011503,0.050116425,0.010023285,,1,276
b8.19, b8.19*,112,0.3136755,0.090495,0.015683775,0.003136755,1,1,2171
b8.20, b8.20*,112,0.6910365,0.080347,0.034551825,0.006910365,1,1,1928
b8.21, b8.21*,112,0.425432,0.081366,0.0212716,0.00425432,1,1,1952
b8.22, b8.22*,112,0.666347,0.08197,0.03331735,0.00666347,1,1,1966
b8.23, b8.23*,112,0.8824345,0.109745,0.044121725,0.008824345,1,1,2632
b8.24, b8.24*,112,0.626934,0.055124,0.0313467,0.00626934,1,1,1323
b8.25, b8.25*,112,0.4911295,0.015033,0.024556475,0.004911295,,1,360
b8.26, b8.26*,112,0.7554935,0.052429,0.037774675,0.007554935,1,1,1258
b8.27, b8.27*,112,0.788003,0.044726,0.03940015,0.00788003,1,1,1072
b8.28, b8.28*,112,1.0035155,0.207629,0.050175775,0.010035155,1,1,4981
b8.29, b8.29*,112,0.907234,0.334572,0.0453617,0.00907234,1,1,8025
b8.30, b8.30*,112,0.847594,0.151284,0.0423797,0.00847594,1,1,3629
b8.31, b8.31*,112,0.8644135,0.164809,0.043220675,0.008644135,1,1,3953
b8.32, b8.32*,112,0.806402,0.023336,0.0403201,0.00806402,,1,560
B8.5, B8.5*,112,1.65977,0.09524,0.0829885,0.0165977,1,1,2285
B8.6, B8.6*,112,0.3286805,0.000445,0.016434025,0.003286805,,,11
